as_of_date;valuation_time_utc;currency;collateral_curve;market;instrument_id;option_type;exercise_style;settlement_type;expiry_label;expiry_date;expiry_years;swap_tenor_label;underlying_maturity_date;swap_tenor_years;moneyness_bps;strike_rate;forward_swap_rate;atm_normal_vol_bps;normal_vol_bid_bps;normal_vol_mid_bps;normal_vol_ask_bps;black_vol_mid_pct;annuity;discount_factor_to_expiry;notional_eur;premium_bid_eur;premium_mid_eur;premium_ask_eur;premium_mid_bp_notional;intrinsic_value_eur;time_value_eur;vega_eur_per_1bp;delta_annuity_adjusted;quote_source;quote_age_min;liquidity_score;quote_quality;synthetic_seed
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+000-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;0;0,02495852;0,02495852;84,7772;83,2795;84,8695;86,4595;34,0042;0,97397258;0,99824329;104417619;97538,92;99401,16;101263,41;9,5196;0;99401,16;1171,22;-0,48698629;BROKER_A;2;99;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+025-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;25;0,02745852;0,02495852;84,7772;83,0436;84,7486;86,4536;32,3731;0,97397258;0,99824329;104068798;18645,6;19813,78;21006,78;1,9039;0;19813,78;692,52;0,14942659;BROKER_B;3;97,19;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+025-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;25;0,02745852;0,02495852;84,7772;83,0436;84,7486;86,4536;32,3731;0,97397258;0,99824329;104068798;272045,99;273214,17;274407,17;26,2532;253400,39;19813,78;692,52;-0,82454599;COMPOSITE;3;97,19;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+050-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;50;0,02995852;0,02495852;84,7772;82,6799;84,4949;86,3099;30,9002;0,97397258;0,99824329;103648389;1580,66;1827,25;2097,13;0,1763;0;1827,25;142,22;0,01966229;BROKER_B;4;94,94;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+050-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;50;0,02995852;0,02495852;84,7772;82,6799;84,4949;86,3099;30,9002;0,97397258;0,99824329;103648389;506334,11;506580,69;506850,57;48,8749;504753,45;1827,25;142,22;-0,9543103;BROKER_B;4;94,94;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+100-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;100;0,03495852;0,02495852;84,7772;81,5348;83,5748;85,6148;28,2937;0,97397258;0,99824329;51311762;0,27;0,45;0,72;0,0001;0;0,45;0,11;0,00001655;BROKER_A;5;90,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+100-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;100;0,03495852;0,02495852;84,7772;81,5348;83,5748;85,6148;28,2937;0,97397258;0,99824329;51311762;499762,77;499762,94;499763,21;97,3973;499762,49;0,45;0,11;-0,97395603;BROKER_C;5;90,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+150-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;150;0,03995852;0,02495852;84,7772;80,6262;82,8912;85,1562;26,2479;0,97397258;0,99824329;25353708;0;0;0;0;0;0;0;0;BROKER_B;7;85,94;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+150-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;150;0,03995852;0,02495852;84,7772;80,6262;82,8912;85,1562;26,2479;0,97397258;0,99824329;25353708;370407,25;370407,25;370407,25;146,0959;370407,25;0;0;-0,97397258;BROKER_B;7;85,94;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+200-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;200;0,04495852;0,02495852;84,7772;80,4588;82,9488;85,4388;24,7625;0,97397258;0,99824329;10010700;0;0;0;0;0;0;0;0;BROKER_C;9;81,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+200-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;200;0,04495852;0,02495852;84,7772;80,4588;82,9488;85,4388;24,7625;0,97397258;0,99824329;10010700;195002,95;195002,95;195002,95;194,7945;195002,95;0;0;-0,97397258;BROKER_A;9;81,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-200-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-200;0,00654937;0,02654937;89,0158;90,6994;93,2294;95,7594;70,701;1,92132463;0,99824329;9998164;384194,37;384194,37;384194,37;384,2649;384194,37;0;0;1,92132463;BROKER_A;9;81,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-200-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-200;0,00654937;0,02654937;89,0158;90,6994;93,2294;95,7594;70,701;1,92132463;0,99824329;9998164;0;0;0;0;0;0;0;0;BROKER_C;9;81,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-150-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-150;0,01154937;0,02654937;89,0158;89,9136;92,2186;94,5236;52,6638;1,92132463;0,99824329;25323538;729821,06;729821,06;729821,06;288,1987;729821,06;0;0;1,92132461;COMPOSITE;7;85,86;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-150-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-150;0,01154937;0,02654937;89,0158;89,9136;92,2186;94,5236;52,6638;1,92132463;0,99824329;25323538;0;0;0;0;0;0;0;-0,00000002;BROKER_B;7;85,86;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-100-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-100;0,01654937;0,02654937;89,0158;88,605;90,685;92,765;43,2631;1,92132463;0,99824329;51257992;984835,1;984836,46;984838,35;192,1332;984832,43;4,03;0,77;1,92119639;BROKER_C;5;90,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-100-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-100;0,01654937;0,02654937;89,0158;88,605;90,685;92,765;43,2631;1,92132463;0,99824329;51257992;2,68;4,03;5,92;0,0008;0;4,03;0,77;-0,00012824;BROKER_A;5;90,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-050-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-50;0,02154937;0,02654937;89,0158;87,7126;89,5676;91,4226;37,4461;1,92132463;0,99824329;103561525;999453,24;1000083,29;1000764,07;96,569;994876,54;5206,74;353,25;1,87027634;BROKER_C;4;94,86;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-050-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-50;0,02154937;0,02654937;89,0158;87,7126;89,5676;91,4226;37,4461;1,92132463;0,99824329;103561525;4576,7;5206,74;5887,53;0,5028;0;5206,74;353,25;-0,05104829;BROKER_A;4;94,86;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-025-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-25;0,02404937;0,02654937;89,0158;87,5804;89,3204;91,0604;35,3486;1,92132463;0,99824329;103994662;542508,84;544987,96;547512,91;52,4054;499518,76;45469,19;1438,13;1,60213495;BROKER_A;3;97,11;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M-025-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;-25;0,02404937;0,02654937;89,0158;87,5804;89,3204;91,0604;35,3486;1,92132463;0,99824329;103994662;42990,07;45469,19;47994,15;4,3723;0;45469,19;1438,13;-0,31918968;BROKER_C;3;97,11;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+000-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;0;0,02654937;0,02654937;89,0158;87,5432;89,1732;90,8032;33,5877;1,92132463;0,99824329;104357515;202146,66;205910,5;209674,34;19,7313;0;205910,5;2309,11;0,96066232;BROKER_C;2;99;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+000-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;0;0,02654937;0,02654937;89,0158;87,5432;89,1732;90,8032;33,5877;1,92132463;0,99824329;104357515;202146,66;205910,5;209674,34;19,7313;0;205910,5;2309,11;-0,96066232;BROKER_A;2;99;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+025-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;25;0,02904937;0,02654937;89,0158;87,2756;89,0156;90,7556;32,0531;1,92132463;0,99824329;104643701;42826,28;45312,6;47845,37;4,3302;0;45312,6;1442,45;0,31760184;BROKER_B;3;97,11;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+025-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;25;0,02904937;0,02654937;89,0158;87,2756;89,0156;90,7556;32,0531;1,92132463;0,99824329;104643701;545462,58;547948,9;550481,67;52,3633;502636,3;45312,6;1442,45;-1,60372279;BROKER_B;3;97,11;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+050-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;50;0,03154937;0,02654937;89,0158;86,8531;88,7081;90,5631;30,6507;1,92132463;0,99824329;104848184;4355,21;4969,56;5634,91;0,474;0;4969,56;344,85;0,04887423;BROKER_B;4;94,86;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+050-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;50;0,03154937;0,02654937;89,0158;86,8531;88,7081;90,5631;30,6507;1,92132463;0,99824329;104848184;1011592,2;1012206,56;1012871,9;96,5402;1007236,99;4969,56;344,85;-1,8724504;BROKER_B;4;94,86;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+100-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;100;0,03654937;0,02654937;89,0158;85,6621;87,7421;89,8221;28,167;1,92132463;0,99824329;52499575;1,47;2,3;3,5;0,0004;0;2,3;0,48;0,00007569;BROKER_A;5;90,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+100-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;100;0,03654937;0,02654937;89,0158;85,6621;87,7421;89,8221;28,167;1,92132463;0,99824329;52499575;1008688,73;1008689,56;1008690,76;192,1329;1008687,27;2,3;0,48;-1,92124894;BROKER_C;5;90,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+150-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;150;0,04154937;0,02654937;89,0158;84,8363;87,1413;89,4463;26,237;1,92132463;0,99824329;26199959;0;0;0;0;0;0;0;0;BROKER_B;7;85,86;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+150-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;150;0,04154937;0,02654937;89,0158;84,8363;87,1413;89,4463;26,237;1,92132463;0,99824329;26199959;755079,4;755079,4;755079,4;288,1987;755079,4;0;0;-1,92132463;COMPOSITE;7;85,86;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+200-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;200;0,04654937;0,02654937;89,0158;84,7096;87,2396;89,7696;24,8159;1,92132463;0,99824329;10426420;0;0;0;0;0;0;0;0;BROKER_B;9;81,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T2Y-M+200-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;2Y;2028-07-10;2;200;0,04654937;0,02654937;89,0158;84,7096;87,2396;89,7696;24,8159;1,92132463;0,99824329;10426420;400650,75;400650,75;400650,75;384,2649;400650,75;0;0;-1,92132463;BROKER_A;9;81,36;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-200-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-200;0,007591;0,027591;93,0805;94,7817;97,3367;99,8917;67,2579;2,84138711;0,99824329;9578275;544311,74;544311,74;544311,74;568,2774;544311,74;0;0;2,84138711;BROKER_B;7;81,28;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-200-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-200;0,007591;0,027591;93,0805;94,7817;97,3367;99,8917;67,2579;2,84138711;0,99824329;9578275;0;0;0;0;0;0;0;0;COMPOSITE;7;81,28;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-150-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-150;0,012591;0,027591;93,0805;93,9039;96,2339;98,5639;51,6314;2,84138711;0,99824329;24158814;1029668,14;1029668,14;1029668,14;426,2081;1029668,14;0;0;2,84138702;BROKER_A;6;85,78;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-150-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-150;0,012591;0,027591;93,0805;93,9039;96,2339;98,5639;51,6314;2,84138711;0,99824329;24158814;0;0;0;0;0;0;0;-0,00000009;BROKER_C;6;85,78;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-100-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-100;0,017591;0,027591;93,0805;92,5831;94,6881;96,7931;42,98;2,84138711;0,99824329;48861757;1388359,75;1388363,35;1388368,2;284,1411;1388351,67;11,68;1,98;2,8410266;BROKER_A;4;90,28;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-100-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-100;0,017591;0,027591;93,0805;92,5831;94,6881;96,7931;42,98;2,84138711;0,99824329;48861757;8,08;11,68;16,53;0,0024;0;11,68;1,98;-0,00036051;BROKER_B;4;90,28;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-050-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-50;0,022591;0,027591;93,0805;91,7896;93,6696;95,5496;37,5186;2,84138711;0,99824329;98971283;1414598,54;1415662,51;1416802,07;143,0377;1406078,64;9583,87;585,99;2,74983437;COMPOSITE;2;94,78;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-050-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-50;0,022591;0,027591;93,0805;91,7896;93,6696;95,5496;37,5186;2,84138711;0,99824329;98971283;8519,9;9583,87;10723,43;0,9683;0;9583,87;585,99;-0,09155275;BROKER_B;2;94,78;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-025-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-25;0,025091;0,027591;93,0805;91,683;93,453;95,223;35,5182;2,84138711;0,99824329;99627934;776995,86;780720,89;784507,03;78,3637;707703,82;73017,07;2122,03;2,33834173;BROKER_B;1;97,03;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T3Y-M-025-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;3Y;2029-07-10;3;-25;0,025091;0,027591;93,0805;91,683;93,453;95,223;35,5182;2,84138711;0,99824329;99627934;69292,04;73017,07;76803,21;7,329;0;73017,07;2122,03;-0,50304538;COMPOSITE;1;97,03;OK;20260610
